trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
74,False,"{'a': 0.5, 'e': 0.8828333357999967}",20,0,-89.66025790249911,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.8812500024999966}",20,0,-49.18282506096449,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.8796666691999966}",30,0,-45.1912987493602,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.8780833358999965}",20,0,-95.13693770972189,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.8765000025999965}",25,3,-37.30503314092885,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.8749166692999965}",25,0,-70.69042007947357,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.8733333359999964}",20,0,-73.16642382257767,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.8717500026999964}",30,7,-113.05075881492576,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 3}",1
82,False,"{'a': 0.5, 'e': 0.8701666693999963}",35,0,-104.9112280947459,"{0: 26, 1: 3, 2: 4, 3: 0, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.8685833360999963}",20,0,-154.78608996523857,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
84,False,"{'a': 0.5, 'e': 0.8670000027999962}",25,6,-128.48921868069797,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 2}",1
85,False,"{'a': 0.5, 'e': 0.8654166694999962}",35,8,-46.655483168291816,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.8638333361999961}",25,12,-94.79854429568566,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 2}",1
87,False,"{'a': 0.5, 'e': 0.8622500028999961}",25,0,-139.3857240895181,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
88,False,"{'a': 0.5, 'e': 0.860666669599996}",25,0,-56.539268822420794,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.859083336299996}",20,0,-99.92832705354745,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.857500002999996}",20,6,-22.273061271730274,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.8559166696999959}",20,11,-35.04958293060019,"{0: 4, 1: 1, 2: 4, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.8543333363999959}",20,0,-139.91881120868752,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
93,False,"{'a': 0.5, 'e': 0.8527500030999958}",30,0,-73.53627593055438,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.8511666697999958}",25,0,-113.06634815613657,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.8495833364999957}",20,1,-80.73652633363358,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.8480000031999957}",20,0,-41.12398081419184,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.8464166698999956}",30,0,-46.36230142453588,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.8448333365999956}",20,7,-65.38509406059046,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.8432500032999956}",20,0,-89.06279462564612,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.8416666699999955}",25,0,-123.87211644244077,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.8400833366999955}",25,0,-42.4446184635898,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.8385000033999954}",20,0,-159.6266372487034,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.8369166700999954}",25,0,-118.97248293611004,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.8353333367999953}",20,14,-2.7735999420132162,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.8337500034999953}",20,0,-55.10887601829078,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.8321666701999952}",20,0,-54.99257239832673,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.8305833368999952}",20,0,-65.68232150925695,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.8290000035999951}",20,0,-55.73859691277117,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.8274166702999951}",20,0,-31.767520658304086,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.8258333369999951}",25,0,-48.84439944471233,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.824250003699995}",20,12,-42.60968763512247,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.822666670399995}",20,4,-21.482054904479853,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.8210833370999949}",20,0,-49.856919825737776,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.8195000037999949}",25,0,-104.74759952473298,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
115,False,"{'a': 0.5, 'e': 0.8179166704999948}",25,9,-89.50158454446587,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 2}",1
116,False,"{'a': 0.5, 'e': 0.8163333371999948}",30,0,-103.30206615463995,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
117,False,"{'a': 0.5, 'e': 0.8147500038999947}",20,8,-7.781563653796462,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.8131666705999947}",25,3,-148.4252545930765,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 2}",1
119,False,"{'a': 0.5, 'e': 0.8115833372999947}",35,0,-174.10734021040741,"{0: 23, 1: 3, 2: 5, 3: 1, 4: 3}",0
120,False,"{'a': 0.5, 'e': 0.8100000039999946}",20,0,-84.98784544035031,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.8084166706999946}",20,2,-42.553742330614156,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.8068333373999945}",20,13,-9.841321390099436,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.8052500040999945}",20,0,-93.41460447710776,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.8036666707999944}",30,16,-10.286416766859903,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.8020833374999944}",20,0,-116.2908393065957,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
126,False,"{'a': 0.5, 'e': 0.8005000041999943}",30,18,1.7352222251214802,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.7989166708999943}",25,0,-45.86592418085159,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.7973333375999943}",20,0,-19.76912610696336,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.7957500042999942}",35,21,-4.373107361130319,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.7941666709999942}",20,0,-123.3190830923566,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.7925833376999941}",20,0,-68.28488754403935,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.7910000043999941}",20,0,-62.22791890179071,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.789416671099994}",30,8,-93.95263735286696,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 2}",1
