trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
265,False,"{'a': 0.5, 'e': 0.26713530196585034}",30,13,-44.84409444257937,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
266,False,"{'a': 0.5, 'e': 0.26580295908892659}",25,20,9.019343901720998,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.26447726129982396}",20,13,-22.987370262803243,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.26315817545602871}",20,0,-14.42462978748247,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
269,False,"{'a': 0.5, 'e': 0.26184566858032599}",25,19,10.395571984440977,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.2605397078599756}",20,3,2.2097695599649207,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.25924026064589151}",25,17,10.1355056489149,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.25794729445182568}",35,21,14.895501769479738,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.25666077695355588}",25,16,8.055611341648053,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.25538067598807768}",20,12,3.090380483837853,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.25410695955280027}",20,14,8.609388779438994,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.25283959580474646}",20,15,-1.4438643747866333,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
277,False,"{'a': 0.5, 'e': 0.25157855305975646}",20,16,9.041422895850872,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.25032379979169611}",20,14,10.325637060943912,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.24907530463166816}",30,0,-110.28783848488811,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 3}",1
280,False,"{'a': 0.5, 'e': 0.24783303636722875}",20,11,-8.140205640402499,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.24659696394160643}",25,2,12.749104148914803,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.24536705645292634}",25,3,-28.570443989911677,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.24414328315343711}",20,13,14.275470076578156,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.5, 'e': 0.24292561344874244}",30,4,-67.90057174246861,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 1}",1
285,False,"{'a': 0.5, 'e': 0.24171401689703645}",30,0,12.813799155370198,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
286,False,"{'a': 0.5, 'e': 0.24050846320834213}",20,0,-3.0162337566033344,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
287,False,"{'a': 0.5, 'e': 0.23930892224375455}",20,14,10.690425005539717,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.5, 'e': 0.23811536401468703}",20,10,-23.57853191466268,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
289,False,"{'a': 0.5, 'e': 0.23692775868212176}",30,0,-44.73304884932576,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
290,False,"{'a': 0.5, 'e': 0.23574607655586352}",25,13,11.360455014620712,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
291,False,"{'a': 0.5, 'e': 0.23457028809379765}",20,16,7.5253944503383465,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.23340036390115132}",30,16,29.483170708577926,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.5, 'e': 0.23223627472975883}",20,8,23.285985556504237,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.23107799147733019}",35,18,8.156873400410575,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.22992548518672384}",25,2,36.00683864533299,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.5, 'e': 0.22877872704522242}",25,20,9.114980969259031,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.5, 'e': 0.22763768838381274}",20,2,18.332222026747168,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.22650234067646874}",25,13,7.661252510695872,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.22537265553943872}",20,8,23.077349409056307,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.22424860473053532}",20,7,-19.353759264290826,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
301,False,"{'a': 0.5, 'e': 0.22313016014842982}",30,13,27.045196437090365,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.22201729383194937}",20,12,14.50428958421243,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.5, 'e': 0.2209099779593782}",25,7,6.324175502016224,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.21980818484776168}",20,11,-0.3159247646211698,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.21871188695221475}",20,0,-54.812314670938996,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
306,False,"{'a': 0.5, 'e': 0.21762105686523284}",25,15,22.230187766644136,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.5, 'e': 0.21653566731600707}",30,2,32.400994012615385,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
308,False,"{'a': 0.5, 'e': 0.21545569116974203}",30,15,12.299951792422359,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.5, 'e': 0.21438110142697794}",30,16,17.38301096799572,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
310,False,"{'a': 0.5, 'e': 0.21331187122291523}",20,0,21.126985782617528,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
311,False,"{'a': 0.5, 'e': 0.21224797382674304}",25,13,-27.57933083364269,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
312,False,"{'a': 0.5, 'e': 0.21118938264097117}",25,9,27.558096828795176,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.5, 'e': 0.21013607120076472}",25,13,19.87312213469231,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.5, 'e': 0.20908801317328293}",25,6,0.5183152020827586,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
315,False,"{'a': 0.5, 'e': 0.20804518235702046}",20,6,1.0439597217363328,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
316,False,"{'a': 0.5, 'e': 0.20700755268115265}",20,4,-11.98837381027708,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
317,False,"{'a': 0.5, 'e': 0.20597509820488344}",20,13,12.331647008586419,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.5, 'e': 0.20494779311679731}",20,0,-8.191955456201455,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
319,False,"{'a': 0.5, 'e': 0.20392561173421342}",25,16,16.645713472820354,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.5, 'e': 0.20290852850254407}",20,3,24.496718748491205,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.5, 'e': 0.20189651799465538}",25,0,-110.22460497132325,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 3}",0
322,False,"{'a': 0.5, 'e': 0.20088955491023208}",20,7,23.949946355848905,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.5, 'e': 0.19988761407514449}",25,9,15.217935881308238,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
324,False,"{'a': 0.5, 'e': 0.19889067044081962}",25,20,7.974249074862233,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.5, 'e': 0.19789869908361465}",25,7,35.02610890964949,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.5, 'e': 0.19691167520419406}",25,3,22.787481902501714,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.5, 'e': 0.19592957412690934}",25,6,-22.79196924741561,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
328,False,"{'a': 0.5, 'e': 0.1949523712991825}",30,11,-17.281045604816104,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
329,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,9,24.538401607912622,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.5, 'e': 0.19301256279376172}",20,13,13.453386523472231,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.5, 'e': 0.19204990862075408}",25,13,-1.7904780509239058,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
332,False,"{'a': 0.5, 'e': 0.19109205570546464}",20,12,14.625199463967425,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.5, 'e': 0.1901389801015205}",25,8,-36.02729190101657,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
334,False,"{'a': 0.5, 'e': 0.18919065798198204}",25,0,-60.88427281322771,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
335,False,"{'a': 0.5, 'e': 0.1882470656387468}",25,8,-17.406968599475697,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
